PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1096 GG,Amstelvlietstraat 307                                    1,Amsterdam,112,4,775e3,Von Poll Real Estate
1064 PR,Tretjakovlaan 106                                    1,Amsterdam,100,3,425e3,Keij & Stefels
1015 EB,Prinsengracht 150 2                                    1,Amsterdam,40,2,395e3,De Graaf & Groot Makelaars
1095 MB,John Blankensteinstraat 173 -B                                    1,Amsterdam,162,5,739e3,Voogd Makelaardij
1019 NC,Venetiëhof 105                                    1,Amsterdam,86,3,419e3,Thuis in Vastgoed
1058 XP,Nepveustraat 32 2                                    1,Amsterdam,99,5,585e3,FEM Makelaars B.V.
1078 HX,Deurloostraat 129 3                                    1,Amsterdam,131,4,1e6,iBlue Makelaars® | Amsterdam en omstreken
1055 AA,Bos en Lommerplantsoen 99 G                                    1,Amsterdam,31,1,195e3,Hallie & Van Klooster Makelaardij
1015 ND,Anjeliersstraat 71                                    1,Amsterdam,152,4,1395e3,Smit & Heinen Makelaars en Taxateurs o/z
1035 HC,Bruinvisstraat 5                                    1,Amsterdam,97,3,315e3,URBAN MAKELAARS AMSTERDAM
1094 HL,Javastraat 74 -1                                    1,Amsterdam,54,3,375e3,Geldhof Makelaardij O.G.
1082 KT,Willem van Weldammelaan 75                                    1,Amsterdam,206,7,1975e3,ERA Van De Steege
1078 MK,Biesboschstraat 13 II                                    1,Amsterdam,88,4,565e3,De Graaf & Groot Makelaars
1102 ZH,Daniël Defoelaan 263                                    1,Amsterdam,74,3,235e3,Makelaar Amsterdam Kuijs Reinder Kakes
1018 HL,Compagniestraat 46                                    1,Amsterdam,85,4,425e3,Makelaar Amsterdam Kuijs Reinder Kakes
1072 RC,Lizzy Ansinghstraat 13                                    1,Amsterdam,93,3,475e3,Makelaar Amsterdam Kuijs Reinder Kakes
1052 LL,Derde Hugo de Grootstraat 2 -III                                    1,Amsterdam,78,3,45e4,B.V. Deltam Makelaardij o.g.
1094 SW,Formosastraat 77                                    1,Amsterdam,56,2,275e3,Hoekstra en van Eck Amsterdam Noord
1054 BK,Derde Helmersstraat 54 -III                                    1,Amsterdam,103,3,725e3,DSTRCT Amsterdam
1075 HL,De Lairessestraat 152 boven                                    1,Amsterdam,284,7,2e6,HHW Makelaars
1018 GW,Sarphatistraat 478                                    1,Amsterdam,120,5,75e4,RE/MAX PRO
1060 NW,Adamello 39                                    1,Amsterdam,87,3,35e4,Barnhoorn Vermeer Makelaars o.g.
1054 ES,Stadhouderskade 16 B                                    1,Amsterdam,224,5,175e4,DSTRCT Amsterdam
1015 LS,Karthuizersplantsoen 7                                    1,Amsterdam,162,5,129e4,Broersma Makelaardij
1015 AJ,Singel 174 /A                                    1,Amsterdam,94,4,725e3,Carla van den Brink B.V.
1077 KM,Cornelis Dopperkade 7 I                                    1,Amsterdam,115,3,75e4,Von Poll Real Estate
1075 EA,Koninginneweg 44 -IV                                    1,Amsterdam,57,2,65e4,Rappange Makelaardij B.V.
1075 EA,Koninginneweg 44 -III                                    1,Amsterdam,83,3,899e3,Rappange Makelaardij B.V.
1075 EA,Koninginneweg 44 -II                                    1,Amsterdam,91,3,95e4,Rappange Makelaardij B.V.
1064 HB,Slotermeerlaan 16 C                                    1,Amsterdam,98,4,329e3,Hoofdstad Makelaars
1077 HZ,Beethovenstraat 115 II                                    1,Amsterdam,112,3,815e3,Broersma Makelaardij
1018 ES,Amstel 165 huis                                    1,Amsterdam,240,8,22e5,Broersma Makelaardij
1054 KZ,Vondelkerkstraat 28 I+II                                    1,Amsterdam,120,5,925e3,Eefje Voogd Makelaardij
1053 CG,Ten Katestraat 26 A I                                    1,Amsterdam,54,3,349e3,Bleij Makelaardij o.g.
1056 NS,Orteliusstraat 243 H                                    1,Amsterdam,64,4,429e3,Zelfverkopen.nl
1078 KM,Grevelingenstraat 9 2                                    1,Amsterdam,135,4,799e3,Forte Makelaars
1015 GK,Brouwersgracht 819                                    1,Amsterdam,101,3,7e5,Makelaar in Amsterdam
1016 RG,Lauriergracht 47 /F                                    1,Amsterdam,411,8,345e4,Meerdere makelaars betrokken
1075 BD,Prins Hendriklaan 32 B                                    1,Amsterdam,185,5,195e4,Broersma Makelaardij
1094 KT,Eerste Atjehstraat 124 I en II                                    1,Amsterdam,120,6,649e3,Hoofdstad Makelaars
1102 ZB,Chestertonlaan 156                                    1,Amsterdam,88,4,25e4,Linger OG
1106 KM,Millingenhof 200                                    1,Amsterdam,73,2,175e3,Linger OG
1053 BN,Bellamystraat 66                                    1,Amsterdam,142,4,11e5,Keij & Stefels
1077 GS,Schubertstraat 16                                    1,Amsterdam,257,7,275e4,Broersma Makelaardij
1075 BE,Prins Hendriklaan 48                                    1,Amsterdam,435,10,5e6,Broersma Makelaardij
1016 BK,Herengracht 279                                    1,Amsterdam,180,6,15e5,Martens Makelaars
1104 HR,Korianderstraat 27                                    1,Amsterdam,98,4,275e3,Collectief Makelaars
1017 EW,Keizersgracht 714                                    1,Amsterdam,123,6,135e4,Broersma Makelaardij
1016 RW,Elandsstraat 3                                    1,Amsterdam,442,12,315e4,Carla van den Brink B.V.
1087 JT,Zwanebloemlaan 103                                    1,Amsterdam,197,7,92e4,Makelaar voor een uur
1079 GH,Kinderdijkstraat 4 III+IV                                    1,Amsterdam,111,5,695e3,Aemestelle Makelaars v.o.f.
1074 HT,Amsteldijk 29 H                                    1,Amsterdam,254,9,22e5,De Graaf & Groot Makelaars
1058 KH,Haarlemmermeerstraat 128 III                                    1,Amsterdam,123,4,625e3,Engel & Völkers Amsterdam Zuid
1013 SN,Assendelftstraat 1 I                                    1,Amsterdam,22,1,139e3,Stadsmakelaars.nl
1107 CG,Wethouder Serrurierstraat 52                                    1,Amsterdam,81,4,25e4,Collectief Makelaars
1077 PA,Minervalaan 32 III                                    1,Amsterdam,102,4,779e3,Keij & Stefels
1016 CG,Herengracht 346 A                                    1,Amsterdam,177,5,1175e3,De Graaf & Groot Makelaars
1078 VV,Dintelstraat 52 I                                    1,Amsterdam,74,4,475e3,Deltastate Makelaardij b.v.
1016 BE,Herengracht 185 B                                    1,Amsterdam,101,2,139e4,Hoen Makelaars B.V.
1073 GE,Rustenburgerstraat 305 -1                                    1,Amsterdam,49,2,325e3,B.V. Deltam Makelaardij o.g.
1078 PC,Deltastraat 12 -A/B                                    1,Amsterdam,240,10,119e4,Rappange Makelaardij B.V.
1053 VN,Bilderdijkkade 50 C4                                    1,Amsterdam,103,2,75e4,BNV makelaars
1063 TZ,Dirk Bonsstraat 14 hs                                    1,Amsterdam,67,4,275e3,De Woonmeester
1079 RH,Gaasterlandstraat 12                                    1,Amsterdam,146,5,85e4,Heeren Makelaars
1064 CM,Burgemeester Hogguerstraat 159                                    1,Amsterdam,90,4,3e5,Hoekstra en van Eck Amsterdam West
1075 RV,Baarsstraat 39 3                                    1,Amsterdam,50,4,385e3,Makelaar Amsterdam Kuijs Reinder Kakes
1019 AZ,Panamalaan 148                                    1,Amsterdam,93,3,395e3,JLG Real Estate
1019 GM,Piet Heinkade 143                                    1,Amsterdam,202,4,17e5,Dokter Makelaars
1055 HB,Trouringhstraat 20 III                                    1,Amsterdam,50,3,285e3,De Groot en Compagnons
1015 CW,Keizersgracht 120 -G                                    1,Amsterdam,172,5,1495e3,DSTRCT Amsterdam
1077 AM,Apollolaan 95 hs                                    1,Amsterdam,231,8,135e4,De Graaf & Groot Makelaars
1079 HA,Rijnstraat 111 I                                    1,Amsterdam,126,6,76e4,Keij & Stefels
1071 CM,Jan Luijkenstraat 4 hs + 2                                    1,Amsterdam,357,12,2999e3,Nieuw Amsterdams Huys
1071 CM,Jan Luijkenstraat 4 2                                    1,Amsterdam,92,3,749e3,Nieuw Amsterdams Huys
1071 CM,Jan Luijkenstraat 4 huis                                    1,Amsterdam,266,9,2295e3,Nieuw Amsterdams Huys
1059 XL,Katwijkstraat 5 hs                                    1,Amsterdam,58,2,45e4,Von Poll Real Estate
1018 VV,Nieuwe Prinsengracht 74 -3                                    1,Amsterdam,93,4,629e3,Kaai Makelaars
1072 CS,Albert Cuypstraat 139 II                                    1,Amsterdam,41,2,309e3,Aemestelle Makelaars v.o.f.
1052 KC,Van Oldenbarneveldtstraat 54 Y                                    1,Amsterdam,68,2,425e3,Dokter Makelaars
1054 AZ,Derde Helmersstraat 5 HS                                    1,Amsterdam,60,5,5e5,Amstelland Makelaars B.V.
1016 JA,Prinsengracht 368 A                                    1,Amsterdam,68,3,675e3,Von Poll Real Estate
1075 BL,Sophialaan 19 -E                                    1,Amsterdam,73,3,75e4,Rappange Makelaardij B.V.
1016 SX,Rozengracht 247 A                                    1,Amsterdam,150,5,849e3,+31 Vastgoed
1082 MS,Gustav Mahlerplein 153                                    1,Amsterdam,112,3,85e4,"KNAP Makelaardij Certified Expat Broker, Amsterdam"
1103 LZ,Groenhoven 822                                    1,Amsterdam,54,2,175e3,Linger OG
1077 XG,Henriëtte Bosmansstraat 49                                    1,Amsterdam,167,6,1495e3,Bakker Berkeveld Den Baas Makelaars B.V.
1016 AV,Herengracht 313                                    1,Amsterdam,102,6,995e3,Von Poll Real Estate
1074 EK,Kuipersstraat 6                                    1,Amsterdam,203,11,135e4,Martens Makelaars
1017 GC,Kerkstraat 57                                    1,Amsterdam,305,11,185e4,DSTRCT Amsterdam
1058 ER,Nachtwachtlaan 450                                    1,Amsterdam,98,4,475e3,Alice Bakker Makelaardij O.G.
1017 WV,Sarphatikade 19 -BV                                    1,Amsterdam,211,5,1535e3,Keij & Stefels
1075 BL,Sophialaan 19 -D                                    1,Amsterdam,70,3,75e4,Rappange Makelaardij B.V.
1059 EJ,Leimuidenstraat 24 -II+III                                    1,Amsterdam,108,5,695e3,Keij & Stefels
1053 LN,Nassaukade 304 A                                    1,Amsterdam,205,8,125e4,De Graaf & Groot Makelaars
1087 LB,Ben van Meerendonkstraat 47                                    1,Amsterdam,84,3,349500,De Huizenbemiddelaar Amsterdam City e.o.
1017 ZJ,Pieter Pauwstraat 23                                    1,Amsterdam,87,3,695e3,De Graaf & Groot Makelaars
1052 GT,Kostverlorenstraat 19 -D                                    1,Amsterdam,231,4,165e4,Keij & Stefels
1060 ST,Escudolaan 3                                    1,Amsterdam,140,5,475e3,makelaarFRANK
1060 SP,Drachmesingel 5                                    1,Amsterdam,137,4,45e4,makelaarFRANK
1060 NV,Brenner 56                                    1,Amsterdam,133,5,425e3,makelaarFRANK
1065 LZ,Jan Muschstraat 48                                    1,Amsterdam,33,1,175e3,B.V. Deltam Makelaardij o.g.
1012 TA,Koggestraat 7 L                                    1,Amsterdam,69,2,345e3,Damstede Makelaardij
1096 GJ,Welnastraat 338                                    1,Amsterdam,181,6,995e3,Von Poll Real Estate
1096 GJ,Welnastraat 336                                    1,Amsterdam,167,7,105e4,Von Poll Real Estate
1091 VG,Vrolikstraat 26 D                                    1,Amsterdam,118,4,58e4,Mendes Makelaardij
1013 HE,Brouwersgracht 244 C                                    1,Amsterdam,75,2,485e3,Von Poll Real Estate
1071 JL,Cornelis Schuytstraat 50 -III                                    1,Amsterdam,113,3,11e5,Keij & Stefels
1071 JL,Cornelis Schuytstraat 50 -boven                                    1,Amsterdam,214,5,2075e3,Keij & Stefels
1011 GW,Krom Boomssloot 20 -2V                                    1,Amsterdam,105,3,574e3,DSTRCT Amsterdam
1074 HS,Amsteldijk 23 II                                    1,Amsterdam,82,3,84e4,Carla van den Brink B.V.
1013 MM,IJdok 43                                    1,Amsterdam,324,9,1975e3,Carla van den Brink B.V.
1016 VS,Looiersgracht 10 -1                                    1,Amsterdam,160,4,1395e3,Van Overbeek Amsterdam
1066 HE,Zichemplein 1                                    1,Amsterdam,113,4,36e4,makelaarFRANK
1077 WP,Guido Gezellestraat 14                                    1,Amsterdam,307,14,295e4,De Graaf & Groot Makelaars
1033 CP,Kleine Beerstraat 3                                    1,Amsterdam,64,3,28e4,Ron Schipper Makelaardij
1074 HS,Amsteldijk 23 IV                                    1,Amsterdam,82,3,84e4,Carla van den Brink B.V.
1014 ZC,Wiborgeiland 142                                    1,Amsterdam,168,6,906200,Eefje Voogd Makelaardij
1014 ZC,Wiborgeiland 159                                    1,Amsterdam,224,7,1176270,Eefje Voogd Makelaardij
1014 ZC,Wiborgeiland 162                                    1,Amsterdam,185,4,934e3,Eefje Voogd Makelaardij
1014 ZC,Wiborgeiland 150                                    1,Amsterdam,155,4,858540,Eefje Voogd Makelaardij
1069 GS,Korte Water 224                                    1,Amsterdam,113,5,325e3,AVT Makelaars
1024 LK,De Breekstraat 53                                    1,Amsterdam,200,8,85e4,CSV Makelaars B.V.
1071 ZX,Van Breestraat 154                                    1,Amsterdam,328,9,3995e3,Brummer Makelaars en Taxateurs o.g.
1016 AG,Singel 354                                    1,Amsterdam,275,9,1695e3,Ouwehand v/d Meijden Makelaars B.V.
1060 NM,Schotse Hooglanden 18                                    1,Amsterdam,199,6,549500,Onkenhout Makelaars B.V.
1066 EN,Osdorperweg 128                                    1,Amsterdam,131,5,795e3,Onkenhout Makelaars B.V.
1079 PR,Betuwestraat 14                                    1,Amsterdam,267,9,1999999,Beekman Makelaardij o.g. b.v.
1035 XX,Jacob Honigstraat 22                                    1,Amsterdam,70,5,299e3,Dirk Voet Makelaars
1015 GZ,Lijnbaansgracht 92                                    1,Amsterdam,547,8,45e5,PC22 makelaars taxateurs o.z.
1012 NE,Dirk van Hasseltssteeg 40                                    1,Amsterdam,107,4,1195e3,Makelaarsland
1021 NT,Bankwerkerij 159                                    1,Amsterdam,48,2,275e3,Makelaarsland
1093 GT,Reinwardtstraat 5 E                                    1,Amsterdam,45,2,3e5,Makelaarsland
1013 TN,Knollendamstraat 2 I                                    1,Amsterdam,50,4,285e3,Brummer Makelaars en Taxateurs o.g.
1011 JZ,Kloveniersburgwal 61 D                                    1,Amsterdam,150,5,999e3,Ouwehand v/d Meijden Makelaars B.V.
1052 LT,Hugo de Grootkade 44 bel                                    1,Amsterdam,44,2,3e5,Groot Amsterdam Makelaardij B.V.
1056 DD,Hoofdweg 376 III                                    1,Amsterdam,56,3,32e4,JOOST Makelaars
1079 WD,Hunzestraat 22 -2                                    1,Amsterdam,57,3,375e3,Brummer Makelaars en Taxateurs o.g.
1011 VM,Rapenburgerstraat 171 -L                                    1,Amsterdam,177,4,12e5,CSV Makelaars B.V.
1016 SG,Elandsstraat 52                                    1,Amsterdam,96,3,75e4,"Makelaarsgroep Ameo, vestiging Amsterdam Zuid"
1075 CR,Koninginneweg 193 Hs                                    1,Amsterdam,243,6,1499e3,Ouwehand v/d Meijden Makelaars B.V.
